Date,Apr-19,,,,Dec-19,,,,May-20,,,
Code,bg,l,v,gs,bg,l,v,gs,bg,l,v,gs
,Bare Ground,Litter,Vegetation,Gravel/Stone,Bare Ground,Litter,Vegetation,Gravel/Stone,Bare Ground,Litter,Vegetation,Gravel/Stone
1,30,10,60,0,10,78,12,0,0,2,98,0
2,70,25,5,0,44,50,5,1,20,0,80,0
3,15,15,70,0,15,70,15,0,5,15,80,0
4,1,0,99,0,0,99,1,0,15,20,65,0
5,10,0,90,0,3,97,0,0,15,40,45,0
6,15,3,82,0,0,93,7,0,1,45,54,0
7,6,4,90,0,0,90,10,0,1,20,79,0
8,13,5,82,0,0,97,3,0,5,30,65,0
9,20,70,10,0,40,57,2,1,0,20,80,0
10,5,1,94,0,0,97,3,,1,15,84,0
11,70,20,10,0,37,55,7,1,10,25,65,0
12,50,50,0,,30,25,44,1,15,20,65,0
13,10,3,87,0,2,95,1,2,25,30,45,0
14,83,10,7,0,20,44,35,1,10,30,60,0
15,70,10,20,0,35,5,59,1,20,5,75,0
16,10,20,70,0,5,95,0,0,1,1,98,0
17,44,46,10,0,15,35,50,0,10,5,85,0
18,50,45,5,0,40,35,25,0,5,10,85,0
19,15,15,70,0,0,95,5,0,10,15,75,0
20,55,20,25,0,20,40,40,0,5,5,90,0
21,50,25,25,0,20,43,35,2,5,10,85,0
22,10,10,80,0,1,79,20,0,10,10,80,0
23,40,40,20,0,20,50,30,0,2,5,93,0
24,50,35,15,0,24,60,15,1,10,2,88,0
25,40,45,15,0,40,35,25,0,3,5,92,0
26,12,12,76,0,5,85,10,0,5,20,75,0
27,15,60,25,0,20,35,45,0,15,20,65,0
28,70,5,25,0,33,30,35,2,20,3,77,0
29,85,5,10,0,35,15,45,5,10,5,85,0
30,15,5,80,0,20,77,3,0,1,5,94,0
31,25,25,50,0,20,60,20,0,0,0,100,0
32,50,33,17,0,60,20,20,0,20,5,75,0
33,50,30,20,0,25,40,35,0,10,5,85,0
34,47,45,7,1,50,25,25,0,10,10,80,0
35,40,30,30,0,34,30,35,1,5,10,85,0
36,15,15,70,0,0,75,25,0,1,10,89,0
37,20,60,20,0,53,30,15,2,0,5,95,0
38,5,10,85,0,0,90,10,0,10,10,80,0
39,20,50,30,0,24,30,45,1,0,5,95,0
40,50,35,12,3,50,20,30,0,20,5,75,0
41,20,5,75,0,5,70,25,0,2,25,73,0
42,20,5,75,0,5,54,40,1,5,25,70,0
43,65,15,20,0,40,19,40,1,10,5,85,0
44,75,15,10,0,69,10,20,1,25,5,70,0
45,25,25,50,0,5,87,7,1,5,5,90,0
46,40,49,10,1,30,25,45,0,0,0,100,0
47,20,10,70,0,10,80,10,0,10,5,85,0
48,15,2,83,0,4,96,0,0,40,30,30,0
49,35,10,65,0,5,90,5,0,10,10,80,0
50,78,15,7,0,49,25,25,1,5,5,90,0
51,20,5,75,0,5,90,5,0,2,2,96,0
52,20,70,10,0,79,20,0,1,20,5,75,0
53,50,45,5,0,84,10,5,1,0,0,100,0
54,10,10,80,0,0,96,3,1,5,0,95,0
55,70,20,10,0,50,25,25,0,5,1,94,0
56,15,15,70,0,5,85,10,0,5,2,93,0
57,80,15,5,0,50,9,40,1,0,5,95,0
58,15,10,75,0,5,75,20,0,1,5,94,0
59,15,5,80,0,5,90,5,0,0,5,95,0
60,63,25,10,2,30,25,45,0,10,5,85,0
61,43,42,15,0,10,10,79,1,45,5,50,0
62,5,5,90,0,5,94,1,0,30,10,60,0
63,60,33,5,2,59,25,15,1,5,5,90,0
64,20,5,75,0,0,98,1,1,10,30,60,0
65,5,10,85,0,5,89,5,1,5,20,75,0
66,58,40,2,0,91,8,0,1,10,5,85,0
67,44,44,10,2,50,10,39,1,5,5,90,0
68,68,30,2,0,84,5,10,1,5,5,90,0
69,20,5,75,0,20,74,5,1,0,0,100,0
70,85,10,5,0,39,40,20,1,10,5,85,0
71,8,7,85,0,10,70,20,0,0,5,95,0
72,20,5,75,0,54,15,30,1,20,0,80,0
73,10,20,70,0,5,92,2,1,15,20,65,0
74,64,30,5,1,10,80,10,0,20,30,50,0
75,35,35,30,0,15,15,68,2,5,20,75,0
76,10,10,80,0,2,93,5,0,30,10,60,0
77,23,2,75,0,2,93,5,0,10,45,45,0
78,20,5,75,0,5,90,5,0,5,10,85,0
79,20,5,75,0,5,89,5,1,0,0,100,0
80,70,20,10,0,10,69,20,1,0,0,100,0
81,7,3,90,0,25,15,59,1,5,10,85,0
82,80,15,4,1,54,15,30,1,5,15,80,0
83,65,30,5,0,89,5,5,1,10,5,85,0
84,5,5,90,0,5,74,20,1,10,0,90,0
85,43,48,8,1,20,20,59,1,25,10,65,0
86,74,25,1,0,94,5,0,1,5,2,93,0
87,85,5,10,0,10,10,80,0,15,15,70,0
88,62,30,7,1,25,20,55,0,20,5,75,0
89,55,20,25,0,50,10,40,0,5,5,90,0
90,75,10,15,0,5,64,30,1,5,,95,0
91,10,15,75,0,3,82,15,0,10,25,65,0
92,40,10,50,0,5,80,15,0,5,10,85,0
93,20,5,75,0,5,45,50,0,5,15,80,0
94,5,10,85,0,5,68,25,2,5,0,95,0
95,79,20,1,0,88,5,5,2,15,10,75,0
96,65,10,25,0,60,4,35,1,10,10,80,0
97,20,65,15,0,20,50,30,0,20,10,70,0
98,10,10,80,0,5,85,10,0,45,20,35,0
99,5,5,90,0,10,85,5,0,15,5,80,0
100,70,10,20,0,20,15,64,1,25,50,25,0
101,35,5,60,0,3,96,1,0,30,5,65,0
102,23,60,17,0,20,54,25,1,5,10,85,0
103,60,30,10,0,38,30,30,2,0,0,100,0
104,15,5,80,0,10,69,20,1,10,5,85,0
105,,,,0,5,54,40,1,5,20,75,0
106,63,20,15,2,40,30,27,3,10,10,80,0
107,13,7,80,0,15,74,10,1,0,5,95,0
108,59,15,25,1,5,60,34,1,10,15,75,0
109,,,,0,15,81,3,1,5,0,95,0
110,10,0,90,0,40,50,10,0,0,0,100,0
111,,,,0,74,15,10,1,0,0,100,0
112,15,80,5,0,20,15,65,0,15,25,60,0
113,73,20,7,0,15,78,5,2,0,,100,0
114,66,30,4,0,15,44,40,1,5,0,95,0
115,10,10,80,0,1,93,5,1,5,15,80,0
116,,,,,30,15,54,1,10,0,90,0
117,,,,,59,10,30,1,5,10,85,0
118,5,5,90,0,10,84,5,1,5,5,90,0
119,,,,,15,30,55,0,15,5,80,0
120,80,10,10,0,15,15,69,1,5,10,85,0
121,,,,,5,89,5,1,5,5,90,0
122,20,10,70,0,0,94,5,1,15,10,75,0
123,,,,,10,20,69,1,30,45,25,0
124,,,,,44,30,25,1,5,30,65,0
125,,,,,0,95,5,0,5,0,95,0
126,,,,,40,42,15,3,0,0,100,0
127,,,,,15,40,40,5,5,10,85,0
128,5,5,90,0,5,75,15,5,10,,90,0
129,,,,,5,89,5,1,0,,100,0
130,,,,,20,69,10,1,10,0,90,0
131,30,30,40,0,10,84,5,1,10,0,90,0
132,,,,,59,10,30,1,30,5,65,0
133,,,,,20,60,20,0,30,20,50,0
134,,,,,5,84,10,1,15,5,80,0
135,,,,,5,79,15,1,5,15,80,0
136,40,40,10,10,25,55,15,5,5,5,90,0
137,,,,,30,20,45,5,10,15,75,0
138,,,,,2,93,5,0,5,5,90,0
139,50,20,30,0,10,73,15,2,5,5,90,0
140,,,,,5,88,5,2,20,5,75,0
141,,,,,30,47,20,3,10,5,85,0
142,,,,,50,32,15,3,15,15,70,0
143,,,,,5,77,15,3,5,10,85,0
144,,,,,10,55,30,5,10,10,80,0
avg,36.44537815,20.45378151,42.94957983,0.231404959,23.04861111,53.99305556,22.05555556,0.909090909,9.590277778,10.42857143,80.27083333,0
